"D2015","D2015 - Nominal","K2015 ","D2020","D2020 - Nominal","T2020","BIEDRON","BOSAK","DUDA","HOŁOWNIA","JAKUBIAK","KOS-KAM","PIOTROWSKI","TANAJNO","TRZASK","WITK","ŻÓŁTEK","KO","KONF","PSL","PIS","SLD","NP","NoLegVot - T1 2020","NoLegVot - T2 2020","NoVoters - T1 2020","NoVoters - T2 2020","VotFreq T1 2020","VotFreq T2 2020"
67.9,"D",32.1,72.96,"D",27.04,1.64,4.54,66.08,7.78,0.17,4.75,0.04,0.04,14.87,0.04,0.04,6.86,3.68,18.38,63.43,6.44,1.21,2321,2589,3935,3919,58.81,66.06
82.08,"D",17.92,79.44,"D",20.56,1.09,10.06,67.51,7.16,0.23,4.3,0.15,0.09,9.17,0.03,0.2,2.97,6.57,22.08,64.59,3.32,0.47,6558,6718,10506,10427,62.17,64.43
73.89,"D",26.11,82.33,"D",17.67,0.76,7.04,73.9,5.88,0.11,2.02,0.07,0.07,10.07,0.07,0.0,8.02,7.33,9.5,72.21,2.94,,2787,3130,5270,5237,52.56,59.77
71.09,"D",28.91,66.78,"D",33.22,1.13,7.92,55.97,12.02,0.25,4.59,0.11,0.07,17.53,0.18,0.25,14.61,7.65,14.71,57.61,5.42,,5706,5873,8070,8012,70.41,73.3
41.4,"T",58.6,53.96,"D",46.05,1.68,5.56,47.22,11.69,0.17,4.36,0.1,0.19,28.85,0.05,0.16,14.84,4.54,28.13,39.9,11.87,0.68,11840,12971,22159,22341,53.22,58.06
81.97,"D",18.03,82.15,"D",17.85,1.11,9.04,71.9,5.27,0.22,4.82,0.17,0.11,7.04,0.0,0.33,4.44,5.22,13.45,72.87,3.0,1.02,1811,1944,3073,3050,58.7,63.74
40.99,"T",59.01,52.39,"D",47.61,1.69,6.9,45.35,14.06,0.09,1.78,0.04,0.18,29.68,0.0,0.22,17.96,5.92,9.71,42.38,21.84,2.18,2259,2548,4936,4942,45.52,51.56
44.09,"T",55.91,46.32,"T",53.68,2.02,6.27,38.94,16.28,0.12,2.16,0.15,0.11,33.57,0.08,0.3,28.9,7.0,7.07,38.92,15.41,2.7,6589,6623,10438,10391,62.96,63.74
35.04,"T",64.96,47.55,"T",52.45,2.38,4.97,41.97,15.86,0.1,2.74,0.1,0.3,31.37,0.0,0.2,23.39,6.43,14.21,43.16,12.81,,1982,2141,3456,3476,57.09,61.59
49.94,"T",50.06,61.5,"D",38.5,1.72,6.57,51.61,13.98,0.08,4.74,0.12,0.12,20.8,0.04,0.21,16.11,6.89,17.2,49.33,10.47,,4844,5151,7966,7932,60.6,64.94
62.44,"D",37.56,65.53,"D",34.47,1.6,7.48,56.76,9.53,0.1,1.48,0.08,0.13,22.6,0.05,0.2,21.58,5.5,3.84,57.24,9.2,1.21,4017,4227,6715,6669,59.51,63.38
61.35,"D",38.65,75.54,"D",24.46,1.39,5.73,66.63,7.12,0.17,5.58,0.16,0.04,12.86,0.07,0.24,9.37,5.1,15.21,63.73,5.91,0.68,7003,7636,11622,11517,60.02,66.3
81.97,"D",18.03,79.71,"D",20.29,1.0,10.35,67.36,8.94,0.19,3.2,0.07,0.12,8.59,0.0,0.18,6.0,6.65,7.0,75.92,3.9,,5707,5865,8674,8662,65.62,67.71
67.08,"D",32.92,74.44,"D",25.56,0.85,6.67,63.87,8.67,0.35,6.0,0.03,0.16,13.18,0.03,0.19,6.0,6.67,24.39,56.99,4.49,0.9,3759,4092,6050,6003,61.95,68.17
51.83,"D",48.17,49.27,"T",50.73,2.34,6.07,42.22,12.74,0.19,2.0,0.09,0.17,33.76,0.13,0.29,30.21,5.56,6.85,42.4,13.22,1.76,11381,11614,16475,16154,68.84,71.9
43.64,"T",56.36,53.34,"D",46.66,2.55,4.94,47.62,13.74,0.11,2.99,0.11,0.08,27.5,0.22,0.14,23.18,9.11,9.68,46.2,11.83,,3698,4115,7139,7122,51.59,57.78
78.26,"D",21.74,83.08,"D",16.92,0.4,8.64,72.27,7.16,0.04,2.5,0.12,0.12,8.56,0.02,0.17,6.88,6.63,7.04,76.29,3.16,,4825,5006,7432,7375,64.63,67.88
59.51,"D",40.49,69.56,"D",30.44,1.95,7.52,57.67,14.51,0.0,3.01,0.0,0.0,15.04,0.08,0.23,13.65,7.08,12.71,57.08,9.47,,1337,1442,2363,2326,56.28,61.99
47.82,"T",52.18,46.13,"T",53.87,1.46,7.87,37.88,21.66,0.14,2.51,0.07,0.07,28.27,0.0,0.07,23.97,5.85,20.49,38.13,11.55,,1439,1565,2549,2553,56.34,61.3
44.34,"T",55.66,51.07,"D",48.94,2.44,5.38,43.15,15.09,0.11,5.33,0.09,0.19,28.0,0.08,0.18,25.42,5.3,16.72,39.46,12.84,0.51,7853,8086,12162,12165,64.39,66.47
49.43,"T",50.57,62.96,"D",37.04,1.52,4.23,56.44,13.39,0.22,3.33,0.07,0.14,20.33,0.11,0.22,10.12,4.77,27.43,50.64,6.25,0.78,2772,3110,5053,5097,54.7,61.02
73.05,"D",26.95,72.34,"D",27.66,1.1,8.03,63.07,10.17,0.19,3.73,0.06,0.13,13.23,0.09,0.2,10.27,7.17,12.06,66.01,4.48,,10557,10907,15585,15506,67.57,70.34
66.49,"D",33.51,74.34,"D",25.66,0.72,5.02,67.14,13.0,0.15,1.79,0.1,0.05,11.87,0.0,0.15,14.99,3.14,9.31,65.45,5.18,1.43,1968,2186,3585,3560,54.5,61.4
68.28,"D",31.72,69.88,"D",30.12,1.47,5.97,59.38,8.69,0.21,7.6,0.03,0.0,16.31,0.03,0.31,9.38,4.55,20.2,57.08,6.99,1.81,3883,4147,6579,6534,58.79,63.47
56.15,"D",43.85,63.08,"D",36.92,2.11,6.63,54.1,11.83,0.29,2.8,0.08,0.21,21.45,0.16,0.35,16.61,6.4,8.92,52.71,12.17,1.23,6276,6523,10809,10664,57.89,61.17
70.89,"D",29.11,72.55,"D",27.45,1.23,6.66,64.52,10.18,0.23,3.61,0.02,0.11,13.06,0.04,0.34,11.02,6.04,10.47,63.96,5.94,0.98,5556,6070,9169,9301,60.4,65.26
54.59,"D",45.41,49.81,"T",50.19,2.6,6.85,41.58,18.12,0.19,1.72,0.07,0.11,28.41,0.11,0.23,17.34,6.85,14.05,42.85,15.94,2.96,10720,10672,17847,17640,59.87,60.5
45.8,"T",54.2,44.7,"T",55.3,2.0,5.77,38.08,15.94,0.21,2.03,0.09,0.15,35.38,0.12,0.21,31.55,5.8,10.42,39.34,12.89,,3306,3519,5433,5403,60.61,65.13
74.76,"D",25.24,78.66,"D",21.34,1.17,5.6,70.82,8.58,0.11,3.28,0.13,0.0,9.99,0.03,0.29,6.01,5.22,12.24,71.01,4.0,0.85,3774,4129,6270,6299,59.84,65.55
74.83,"D",25.17,70.87,"D",29.13,1.22,10.55,58.16,11.39,0.12,2.74,0.12,0.15,15.31,0.04,0.2,14.77,9.51,7.21,61.71,6.16,,11294,11371,15971,15856,70.6,71.71
84.73,"D",15.27,87.48,"D",12.52,0.6,4.87,79.04,4.81,0.27,2.87,0.0,0.07,7.28,0.07,0.13,3.4,3.48,8.22,81.9,2.29,0.47,1501,1598,2099,2084,71.37,76.68
36.38,"T",63.62,48.23,"T",51.77,1.8,7.39,39.5,20.51,0.28,1.73,0.0,0.28,28.18,0.14,0.21,23.66,9.81,11.21,40.64,14.67,,1454,1499,2607,2601,55.54,57.63
39.7,"T",60.3,49.35,"T",50.65,2.5,7.11,42.18,15.4,0.32,3.8,0.08,0.21,28.01,0.16,0.24,18.29,7.87,15.63,42.0,16.21,,3776,3937,6769,6738,55.65,58.43
86.56,"D",13.44,84.66,"D",15.34,0.54,8.82,75.48,5.21,0.06,1.59,0.09,0.14,7.74,0.06,0.28,6.03,6.38,4.21,79.73,3.22,,3529,3690,6031,5948,58.28,62.04
70.65,"D",29.35,67.11,"D",32.89,1.31,8.37,56.79,12.12,0.29,1.58,0.13,0.22,18.8,0.11,0.29,21.04,7.25,4.4,61.74,5.58,,4520,4515,6152,6219,73.24,72.6
57.11,"D",42.89,64.74,"D",35.27,1.93,7.21,55.72,10.02,0.18,6.68,0.03,0.03,17.91,0.09,0.23,13.58,7.45,14.79,54.43,9.08,1.09,4938,5088,8597,8513,57.28,59.77
51.34,"D",48.66,56.82,"D",43.19,1.55,8.16,47.27,15.54,0.08,3.16,0.09,0.12,23.73,0.17,0.17,15.4,8.12,12.07,49.03,12.06,3.33,8833,9181,14436,14373,60.9,63.88
39.72,"T",60.28,41.09,"T",58.91,1.97,6.66,36.84,21.13,0.08,3.45,0.0,0.16,29.28,0.33,0.08,29.86,9.5,12.22,36.2,12.22,,1220,1297,2266,2286,53.66,56.74
64.01,"D",35.99,67.3,"D",32.7,1.57,8.04,57.97,11.48,0.1,3.87,0.05,0.1,16.43,0.25,0.15,12.47,7.39,12.52,58.74,8.88,,2047,2208,3175,3207,64.22,68.85
44.63,"T",55.37,52.73,"D",47.27,2.61,5.92,47.24,11.35,0.16,2.73,0.04,0.13,29.64,0.02,0.16,17.54,5.16,11.23,45.23,19.29,1.55,4495,4726,8159,8110,54.87,58.27
57.27,"D",42.73,65.21,"D",34.79,1.6,4.55,57.26,11.07,0.18,5.72,0.18,0.31,18.82,0.12,0.18,10.8,3.38,16.12,57.05,11.28,1.37,1641,1989,2779,2799,58.51,71.06
46.61,"T",53.39,60.78,"D",39.22,1.64,6.88,51.26,16.12,0.06,3.68,0.09,0.3,19.59,0.18,0.21,16.71,8.1,14.48,48.87,11.85,,3351,3562,5844,5805,57.22,61.36
68.24,"D",31.76,78.95,"D",21.05,1.25,7.34,67.95,7.19,0.26,4.87,0.37,0.18,10.48,0.0,0.11,5.89,4.55,17.34,67.56,3.78,0.89,2720,2945,4878,4824,55.58,61.05
